row_id,energy
94993,2026.498779
94994,1946.015625
94995,1910.012939
94996,1892.506104
94997,1883.028809
94998,1910.678955
94999,1993.053467
95000,2099.526855
95001,2186.347168
95002,2241.110107
95003,2275.93457
95004,2300.794678
95005,2319.483398
95006,2333.821533
95007,2340.935791
95008,2340.066406
95009,2343.299316
95010,2362.19458
95011,2387.196289
95012,2400.936768
95013,2403.763428
95014,2399.291016
95015,2365.928467
95016,2280.645508
95017,2166.996826
95018,2078.887939
95019,2034.898926
95020,2009.114502
95021,1991.139648
95022,2010.142578
95023,2083.790527
95024,2181.525635
95025,2259.662842
95026,2305.862305
95027,2332.303223
95028,2349.016602
95029,2359.848877
95030,2366.669434
95031,2366.647705
95032,2359.063477
95033,2356.034912
95034,2369.150391
95035,2388.875244
95036,2397.858154
95037,2396.456543
95038,2388.290527
95039,2351.767822
95040,2263.852783
95041,2148.088867
95042,2058.366211
95043,2013.244141
95044,1986.78418
95045,1968.562988
95046,1987.718506
95047,2061.884277
95048,2160.467285
95049,2239.744873
95050,2287.338379
95051,2315.388672
95052,2333.886963
95053,2346.641113
95054,2355.481201
95055,2357.540527
95056,2352.062744
95057,2351.132324
95058,2366.305664
95059,2388.019775
95060,2398.896729
95061,2399.270264
95062,2392.740967
95063,2357.698486
95064,2271.093262
95065,2156.458252
95066,2067.676025
95067,2023.301025
95068,1997.393066
95069,1979.529785
95070,1998.852539
95071,2073.000488
95072,2171.388428
95073,2250.303223
95074,2297.376953
95075,2324.762207
95076,2342.462646
95077,2354.299072
95078,2362.11499
95079,2363.055908
95080,2356.377441
95081,2354.176514
95082,2368.018555
95083,2388.349854
95084,2397.799805
95085,2396.708252
95086,2388.678467
95087,2352.102783
95088,2263.931641
95089,2147.695313
95090,2057.272705
95091,2011.212158
95092,1983.56543
95093,1963.901611
95094,1981.35083
95095,2053.540771
95096,2149.873291
95097,2226.62207
95098,2271.405273
95099,2296.361816
95100,2311.482666
95101,2320.575439
95102,2325.472656
95103,2323.309326
95104,2313.333496
95105,2307.635254
95106,2317.7771
95107,2334.204102
95108,2339.547119
95109,2334.151611
95110,2321.629395
95111,2280.38501
95112,2187.384277
95113,2066.177246
95114,1970.665527
95115,1919.424561
95116,1886.536377
95117,1861.603516
95118,1873.793213
95119,1940.772461
95120,2031.986084
95121,2103.751709
95122,2143.734619
95123,2164.121582
95124,2174.952881
95125,2180.085205
95126,2181.400146
95127,2176.083008
95128,2163.428711
95129,2155.57373
95130,2164.124756
95131,2179.567871
95132,2184.572266
95133,2179.517578
95134,2168.04541
95135,2128.585938
95136,2038.125
95137,1920.227539
95138,1828.803955
95139,1782.432373
95140,1755.191772
95141,1736.674805
95142,1756.032471
95143,1830.909058
95144,1930.720215
95145,2011.748291
95146,2061.617432
95147,2092.466064
95148,2114.281982
95149,2130.864014
95150,2144.031006
95151,2150.900391
95152,2150.69751
95153,2155.483887
95154,2176.790527
95155,2205.025391
95156,2222.77832
95157,2230.349121
95158,2231.300049
95159,2203.982666
95160,2125.305664
95161,2018.759766
95162,1938.183838
95163,1902.088135
95164,1884.488037
95165,1874.917847
95166,1902.474609
95167,1984.756104
95168,2091.135986
95169,2177.862793
95170,2232.532227
95171,2267.262939
95172,2292.029297
95173,2310.624268
95174,2324.868652
95175,2331.888428
95176,2330.925293
95177,2334.063721
95178,2352.864746
95179,2377.772217
95180,2391.418213
95181,2394.150391
95182,2389.58374
95183,2356.125977
95184,2270.748047
95185,2157.004639
95186,2068.801025
95187,2024.717041
95188,1998.837402
95189,1980.767578
95190,1999.675049
95191,2073.227539
95192,2170.867432
95193,2248.90918
95194,2295.012939
95195,2321.358398
95196,2337.976074
95197,2348.712402
95198,2355.437012
95199,2355.319336
95200,2347.63916
95201,2344.514648
95202,2357.533936
95203,2377.162598
95204,2386.049316
95205,2384.551514
95206,2376.289063
95207,2339.669922
95208,2251.658203
95209,2135.797607
95210,2045.978271
95211,2000.759521
95212,1974.202637
95213,1955.884766
95214,1974.943604
95215,2049.012207
95216,2147.498047
95217,2226.678467
95218,2274.175049
95219,2302.12793
95220,2320.529297
95221,2333.186035
95222,2341.928711
95223,2343.890625
95224,2338.315186
95225,2337.287354
95226,2352.363281
95227,2373.979736
95228,2384.759033
95229,2385.034912
95230,2378.407715
95231,2343.267334
95232,2256.564209
95233,2141.831543
95234,2052.951172
95235,2008.478271
95236,1982.472168
95237,1964.510742
95238,1983.735352
95239,2057.785156
95240,2156.074951
95241,2234.891357
95242,2281.866943
95243,2309.153809
95244,2326.755859
95245,2338.493896
95246,2346.211182
95247,2347.053711
95248,2340.276855
95249,2337.977051
95250,2351.720703
95251,2371.953613
95252,2381.304688
95253,2380.114502
95254,2371.986084
95255,2335.311523
95256,2247.041748
95257,2130.706543
95258,2040.185059
95259,1994.025635
95260,1966.280029
95261,1946.517334
95262,1963.867676
95263,2035.958496
95264,2132.192139
95265,2208.841797
95266,2253.526123
95267,2278.383545
95268,2293.405273
95269,2302.39917
95270,2307.197021
95271,2304.934814
95272,2294.859863
95273,2289.062256
95274,2299.10498
95275,2315.432861
95276,2320.676514
95277,2315.181885
95278,2302.560547
95279,2261.216797
95280,2168.116699
95281,2046.810547
95282,1951.199707
95283,1899.859375
95284,1866.871826
95285,1841.839966
95286,1853.930176
95287,1920.810059
95288,2011.924316
95289,2083.590576
95290,2123.474365
95291,2143.762207
95292,2154.493896
95293,2159.526855
95294,2160.74292
95295,2155.326416
95296,2142.572754
95297,2134.618408
95298,2143.070068
95299,2158.413818
95300,2163.319092
95301,2158.165039
95302,2146.59375
95303,2107.034912
95304,2016.474854
95305,1898.478027
95306,1806.954834
95307,1760.484375
95308,1733.144531
95309,1714.52832
95310,1733.786621
95311,1808.564209
95312,1908.276123
95313,1989.205078
95314,2038.974854
95315,2069.724609
95316,2091.441406
95317,2107.924316
95318,2120.992188
95319,2127.762695
95320,2127.460449
95321,2132.148193
95322,2153.355713
95323,2181.491699
95324,2199.145752
95325,2206.617432
95326,2207.469727
95327,2180.053223
95328,2101.277588
95329,1994.632813
95330,1913.958008
95331,1877.763672
95332,1860.064941
95333,1850.395996
95334,1877.854248
95335,1960.037109
95336,2066.318359
95337,2152.946533
95338,2207.517334
95339,2242.149658
95340,2266.817627
95341,2285.314209
95342,2299.459961
95343,2306.381836
95344,2305.320068
95345,2308.360352
95346,2327.063232
95347,2351.872559
95348,2365.42041
95349,2368.054443
95350,2363.389648
95351,2329.833984
95352,2244.358398
95353,2130.516846
95354,2042.215576
95355,1998.033447
95356,1972.056396
95357,1953.888428
95358,1972.698486
95359,2046.15332
95360,2143.695801
95361,2221.639893
95362,2267.64624
95363,2293.894043
95364,2310.414551
95365,2321.053955
95366,2327.681152
95367,2327.466309
95368,2319.688965
95369,2316.467529
95370,2329.389648
95371,2348.921631
95372,2357.711182
95373,2356.116699
95374,2347.757568
95375,2311.041748
95376,2222.93335
95377,2106.976318
95378,2017.060547
95379,1971.745361
95380,1945.092041
95381,1926.677734
95382,1945.640381
95383,2019.612793
95384,2118.002686
95385,2197.087158
95386,2244.487793
95387,2272.344971
95388,2290.650391
95389,2303.211426
95390,2311.858643
95391,2313.724854
95392,2308.053955
95393,2306.930908
95394,2321.911133
95395,2343.432617
95396,2354.116455
95397,2354.297607
95398,2347.575195
95399,2312.339844
95400,2225.541992
95401,2110.7146
95402,2021.739502
95403,1977.172119
95404,1951.071533
95405,1933.015869
95406,1952.145996
95407,2026.101318
95408,2124.297119
95409,2203.019531
95410,2249.901123
95411,2277.093994
95412,2294.602539
95413,2306.246826
95414,2313.870605
95415,2314.619385
95416,2307.749268
95417,2305.356201
95418,2319.006592
95419,2339.14624
95420,2348.404297
95421,2347.121338
95422,2338.899902
95423,2302.132813
